TimeStamp;LostFrames;noAudioPlayed;avgInterAudioPlayedDelay;NetReadOperations;NetReadBytes;NetReadAvgDelay;noAudioLost;noAudioLate;NoRTPPkts;AvgRTPInterPktDelay;LostRTPPkts;AvgRTPJitter;DispFrames;AvgInterDispDelay
1481833898;0;41;0.023999289768500003;164;89192;0.005855116902329999;0;0;0;0;0;0;24;0.04170512159669999
1481833899;0;42;0.024001359939599995;126;72968;0.00857224540105;0;0;0;0;0;0;24;0.041713337103499996
1481833900;0;42;0.0239985443297;136;81072;0.00794383883476;0;0;0;0;0;0;24;0.0416990816593
1481833902;0;42;0.0240000486374;125;64872;0.00767680740356;0;0;0;0;0;0;24;0.0417077938716
1481833903;0;42;0.023999594506799997;200;89224;0.00503946065903;0;0;0;0;0;0;24;0.041711201270400004
1481833904;0;41;0.023999051349900002;135;72976;0.006756206795020001;0;0;0;0;0;0;24;0.041704754034699996
1481833908;0;42;0.023999049550000002;144;72984;0.005500382847260001;0;0;0;0;0;0;24;0.0417087078094
1481833909;0;42;0.024000400588599997;193;105408;0.00584483887865;0;0;0;0;0;0;24;0.0417088270187
1481833910;0;41;0.0239997607906;145;81080;0.00744777876755;0;0;0;0;0;0;24;0.041704833507500004
1481833912;0;42;0.024000786599699998;162;81096;0.005189827930779999;0;0;0;0;0;0;24;0.0417054990927
1481833913;0;41;0.023998946678299996;144;72984;0.00749510361089;0;0;0;0;0;0;24;0.041705628236099995
1481833914;0;42;0.024000003224299998;117;72960;0.00841013590495;0;0;0;0;0;0;24;0.0417097906272
1481833915;0;42;0.024001093137799998;173;89200;0.0054135722231999995;0;0;0;0;0;0;24;0.041708757480000004
1481833916;0;41;0.024000121326;154;81088;0.00716463002292;0;0;0;0;0;0;24;0.0417071183523
1481833917;0;42;0.0239997875123;135;72976;0.00676148202684;0;0;0;0;0;0;24;0.0417104164759
1481833918;0;42;0.0239990211668;134;64880;0.00715769404796;0;0;0;0;0;0;24;0.0417088369528
1481833919;0;41;0.0240008831024;144;72984;0.0080008606116;0;0;0;0;0;0;24;0.0417061249415
1481833920;0;42;0.0239992368789;153;72992;0.00627426228492;0;0;0;0;0;0;24;0.0417101681232
1481833921;0;42;0.024000996635099997;192;97312;0.00562509894371;0;0;0;0;0;0;24;0.0417055388292
1481833923;0;42;0.023999736422599997;211;105424;0.00477727555551;0;0;0;0;0;0;24;0.041706959406499995
1481833925;0;41;0.0240003190389;340;202680;0.0028941876748000005;0;0;0;0;0;0;24;0.0417122046153
1481833927;0;42;0.0239997591291;247;113552;0.00398380167571;0;0;0;0;0;0;24;0.041706959406499995
1481833928;0;41;0.0240010982606;201;97320;0.00513458251953;0;0;0;0;0;0;24;0.041708250840500005
1481833931;0;41;0.0239999294281;229;105440;0.004297271045529999;0;0;0;0;0;0;24;0.0417062540849
1481833932;0;42;0.024000042960799998;230;121632;0.00448689564415;0;0;0;0;0;0;23;0.041707774867199995
1481833933;0;42;0.0239989076342;327;170288;0.00293601178977;0;0;0;0;0;0;24;0.0417072077592
1481833934;0;41;0.0240002201825;327;162192;0.00308215654589;0;0;0;0;0;0;24;0.0417096714179
1481833936;0;42;0.024000003224299998;288;154064;0.0037501975894000004;0;0;0;0;0;0;24;0.041709999243400006
1481833937;0;41;0.0240002143674;368;210800;0.0027388237092800002;0;0;0;0;0;0;24;0.041708459456800004
1481833938;0;42;0.0239991233462;469;227080;0.00209805756998;0;0;0;0;0;0;24;0.041712830464
1481833940;0;41;0.0240015343922;418;251320;0.00241199064483;0;0;0;0;0;0;24;0.041706174612
1481833942;0;42;0.023998669215599996;262;154040;0.0036655682643899996;0;0;0;0;0;0;24;0.041711628437
1481833943;0;41;0.024001412275400005;203;113512;0.00496776820404;0;0;0;0;0;0;24;0.0417072077592
1481833944;0;42;0.023998760041700002;230;113536;0.0042778129163;0;0;0;0;0;0;24;0.041706085205099996
